# k	<chi>	std	chi_median	chi_max	chi_min
5.000000e-01	-3.987246e-01	1.609561e-01	-3.731710e-01	-1.384746e-01	-9.284096e-01
5.500000e-01	-5.019442e-01	2.373999e-01	-5.330760e-01	-1.410944e-01	-1.046746e+00
6.000000e-01	-5.886215e-01	3.115635e-01	-6.800009e-01	-9.855099e-02	-1.157553e+00
6.500000e-01	-6.618996e-01	3.814989e-01	-8.134164e-01	-5.447092e-02	-1.273432e+00
7.000000e-01	-7.051871e-01	4.311147e-01	-9.042604e-01	-1.915412e-02	-1.337512e+00
7.500000e-01	-7.162437e-01	4.591973e-01	-9.478290e-01	9.372696e-03	-1.343116e+00
8.000000e-01	-6.899401e-01	4.598685e-01	-9.356761e-01	3.058394e-02	-1.276430e+00
8.500000e-01	-6.238702e-01	4.309532e-01	-8.634404e-01	4.701179e-02	-1.173349e+00
9.000000e-01	-5.277153e-01	3.777455e-01	-7.449132e-01	5.520910e-02	-1.014467e+00
9.500000e-01	-4.039634e-01	3.003617e-01	-5.768785e-01	5.640211e-02	-8.022973e-01
1.000000e+00	-2.741330e-01	2.131716e-01	-3.922680e-01	7.389774e-02	-5.892647e-01
1.050000e+00	-1.458261e-01	1.213884e-01	-2.060722e-01	9.981074e-02	-3.802027e-01
1.100000e+00	-4.220210e-02	5.627458e-02	-4.338557e-02	1.546888e-01	-1.861661e-01
1.150000e+00	2.961606e-02	7.668709e-02	2.001705e-02	2.580471e-01	-1.449948e-01
1.200000e+00	5.825070e-02	1.218261e-01	7.710814e-02	3.327595e-01	-1.962799e-01
1.250000e+00	4.499133e-02	1.500853e-01	8.579295e-02	3.245032e-01	-2.513314e-01
1.300000e+00	-2.497394e-03	1.561532e-01	5.313389e-02	2.448272e-01	-3.097069e-01
1.350000e+00	-7.203319e-02	1.436741e-01	-1.163489e-02	1.398245e-01	-3.554361e-01
1.400000e+00	-1.428860e-01	1.204541e-01	-8.498733e-02	3.841194e-02	-4.061190e-01
1.450000e+00	-1.994372e-01	9.370604e-02	-1.523595e-01	-3.076570e-02	-4.302905e-01
1.500000e+00	-2.245386e-01	7.269892e-02	-1.977784e-01	-7.746657e-02	-4.163657e-01
1.550000e+00	-2.117332e-01	6.058065e-02	-1.998560e-01	-7.470511e-02	-3.663133e-01
1.600000e+00	-1.618691e-01	5.802469e-02	-1.513506e-01	-3.415436e-02	-2.963644e-01
1.650000e+00	-8.339351e-02	6.361898e-02	-6.198389e-02	3.128906e-02	-2.226538e-01
1.700000e+00	5.926960e-03	7.429513e-02	4.513466e-02	1.179259e-01	-1.511516e-01
1.750000e+00	9.122880e-02	8.656431e-02	1.402162e-01	2.245623e-01	-7.888113e-02
1.800000e+00	1.539043e-01	9.260580e-02	1.986001e-01	2.954328e-01	-1.772929e-02
1.850000e+00	1.878308e-01	8.983120e-02	2.208289e-01	3.249108e-01	2.925934e-02
1.900000e+00	1.885977e-01	7.552051e-02	2.049018e-01	3.016301e-01	4.571656e-02
1.950000e+00	1.647421e-01	5.329144e-02	1.627105e-01	2.510826e-01	4.735101e-02
2.000000e+00	1.251095e-01	2.975346e-02	1.272344e-01	1.853124e-01	4.387267e-02
2.050000e+00	8.349860e-02	2.367603e-02	8.245926e-02	1.733786e-01	3.873832e-02
2.100000e+00	4.966366e-02	3.705189e-02	3.347696e-02	1.570777e-01	-2.742783e-03
2.150000e+00	2.935317e-02	4.584091e-02	2.088565e-03	1.372192e-01	-3.061629e-02
2.200000e+00	2.175644e-02	4.564771e-02	-1.552143e-03	1.155867e-01	-3.817665e-02
2.250000e+00	2.187059e-02	4.190388e-02	6.802351e-03	1.025480e-01	-3.462918e-02
2.300000e+00	2.168108e-02	3.560424e-02	1.508159e-02	8.748096e-02	-3.007818e-02
2.350000e+00	1.759387e-02	2.918648e-02	1.859357e-02	6.757007e-02	-2.675557e-02
2.400000e+00	9.057146e-03	2.410670e-02	1.442002e-02	4.680151e-02	-3.071125e-02
2.450000e+00	1.792452e-03	2.002650e-02	9.224795e-03	3.498853e-02	-3.448073e-02
2.500000e+00	-5.770487e-03	1.642022e-02	6.782124e-05	2.283949e-02	-3.905156e-02
2.550000e+00	-1.229090e-02	1.324315e-02	-1.033198e-02	1.310032e-02	-4.058924e-02
2.600000e+00	-1.658748e-02	1.047922e-02	-1.777011e-02	8.081330e-03	-3.836744e-02
2.650000e+00	-1.986213e-02	8.731250e-03	-2.209423e-02	4.196840e-03	-3.493233e-02
2.700000e+00	-2.107114e-02	7.663461e-03	-2.318833e-02	2.106828e-03	-3.713697e-02
2.750000e+00	-2.019662e-02	7.167872e-03	-2.105523e-02	3.787452e-03	-3.800312e-02
2.800000e+00	-1.759761e-02	6.929051e-03	-1.684178e-02	5.666796e-03	-3.521461e-02
2.850000e+00	-1.513981e-02	6.667642e-03	-1.405295e-02	6.446419e-03	-3.127434e-02
2.900000e+00	-1.187229e-02	6.139950e-03	-1.061694e-02	6.250009e-03	-2.751862e-02
2.950000e+00	-8.276304e-03	5.546086e-03	-7.289423e-03	5.571400e-03	-2.428096e-02
3.000000e+00	-4.704915e-03	5.280768e-03	-3.645481e-03	7.422771e-03	-2.072420e-02
3.050000e+00	-1.453519e-03	5.604015e-03	-1.133119e-03	1.533953e-02	-1.651624e-02
3.100000e+00	1.529158e-03	6.318928e-03	1.051439e-03	2.204403e-02	-1.242375e-02
3.150000e+00	4.286856e-03	6.988151e-03	3.360829e-03	2.689432e-02	-1.218550e-02
3.200000e+00	6.898799e-03	7.235419e-03	6.203014e-03	2.956310e-02	-1.024429e-02
3.250000e+00	9.007678e-03	6.721755e-03	8.899031e-03	2.911482e-02	-7.244700e-03
3.300000e+00	1.101836e-02	5.566020e-03	1.120069e-02	2.611723e-02	-3.237124e-03
3.350000e+00	1.291971e-02	4.122903e-03	1.329061e-02	2.528548e-02	4.017690e-04
3.400000e+00	1.457024e-02	3.314712e-03	1.475879e-02	2.314777e-02	5.419886e-03
3.450000e+00	1.558092e-02	4.005297e-03	1.536372e-02	2.638670e-02	3.815375e-03
3.500000e+00	1.598496e-02	5.439061e-03	1.628575e-02	2.970294e-02	4.865072e-04
3.550000e+00	1.566799e-02	6.572583e-03	1.594773e-02	3.034604e-02	-4.714007e-03
3.600000e+00	1.463359e-02	7.155103e-03	1.512507e-02	2.922606e-02	-7.615515e-03
3.650000e+00	1.297156e-02	7.371019e-03	1.345379e-02	2.957981e-02	-8.101676e-03
3.700000e+00	1.085829e-02	7.641473e-03	1.141829e-02	2.871430e-02	-5.852846e-03
3.750000e+00	8.458104e-03	8.252711e-03	9.730428e-03	2.669701e-02	-8.165333e-03
3.800000e+00	5.849936e-03	8.952766e-03	6.860149e-03	2.633737e-02	-1.331328e-02
3.850000e+00	3.019434e-03	9.329023e-03	3.724506e-03	2.710113e-02	-1.740185e-02
3.900000e+00	-2.980498e-04	8.967614e-03	-6.365668e-04	2.472611e-02	-1.883837e-02
3.950000e+00	-4.185974e-03	7.859052e-03	-6.010729e-03	2.066819e-02	-2.087264e-02
4.000000e+00	-8.546613e-03	6.590454e-03	-9.062940e-03	1.314123e-02	-2.269459e-02
4.050000e+00	-1.325370e-02	6.408508e-03	-1.345119e-02	2.819805e-03	-2.833928e-02
4.100000e+00	-1.771377e-02	7.678793e-03	-1.911443e-02	1.570916e-03	-3.416738e-02
4.150000e+00	-2.112017e-02	9.537009e-03	-2.362615e-02	2.631477e-03	-3.826647e-02
4.200000e+00	-2.270727e-02	1.106953e-02	-2.648728e-02	4.335011e-03	-4.103175e-02
4.250000e+00	-2.238956e-02	1.183966e-02	-2.558257e-02	6.797316e-03	-4.558436e-02
4.300000e+00	-1.977570e-02	1.181432e-02	-2.154794e-02	8.878549e-03	-4.609188e-02
4.350000e+00	-1.526946e-02	1.120319e-02	-1.555762e-02	1.034429e-02	-4.264361e-02
4.400000e+00	-9.705793e-03	1.034931e-02	-9.128219e-03	1.124165e-02	-3.658687e-02
4.450000e+00	-4.365304e-03	9.616548e-03	-3.179362e-03	1.530968e-02	-2.974656e-02
4.500000e+00	1.828145e-04	9.315935e-03	1.189017e-03	1.911379e-02	-2.556778e-02
4.550000e+00	3.414051e-03	9.537382e-03	4.033029e-03	2.290910e-02	-2.395120e-02
4.600000e+00	5.308805e-03	1.017418e-02	5.377856e-03	2.671782e-02	-2.341123e-02
4.650000e+00	6.297667e-03	1.105549e-02	6.006147e-03	2.925578e-02	-2.363931e-02
4.700000e+00	7.200087e-03	1.190217e-02	6.140004e-03	3.148141e-02	-2.302925e-02
4.750000e+00	8.740300e-03	1.236787e-02	7.895270e-03	3.375848e-02	-2.016850e-02
4.800000e+00	1.133919e-02	1.209990e-02	1.047614e-02	3.520446e-02	-1.400348e-02
4.850000e+00	1.491804e-02	1.099541e-02	1.428989e-02	3.515949e-02	-1.035434e-02
4.900000e+00	1.896290e-02	9.321324e-03	1.998323e-02	3.580940e-02	-4.534229e-03
4.950000e+00	2.259676e-02	8.597781e-03	2.320414e-02	4.595029e-02	-2.346482e-03
5.000000e+00	2.487924e-02	1.077215e-02	2.328249e-02	6.134300e-02	-3.014228e-03
5.050000e+00	2.509100e-02	1.504341e-02	2.321937e-02	7.333496e-02	-3.115482e-03
5.100000e+00	2.302302e-02	1.952925e-02	1.976418e-02	7.985696e-02	-1.083884e-02
5.150000e+00	1.890662e-02	2.299359e-02	1.387942e-02	7.962294e-02	-2.127911e-02
5.200000e+00	1.335990e-02	2.486342e-02	6.566077e-03	7.258806e-02	-2.877622e-02
5.250000e+00	7.123605e-03	2.512578e-02	-2.380926e-03	6.312714e-02	-3.321265e-02
5.300000e+00	9.507474e-04	2.437670e-02	-9.724758e-03	5.436082e-02	-3.709058e-02
5.350000e+00	-4.730856e-03	2.334339e-02	-1.377425e-02	4.335001e-02	-4.419376e-02
5.400000e+00	-9.821234e-03	2.242035e-02	-1.605270e-02	4.243065e-02	-4.836461e-02
5.450000e+00	-1.438055e-02	2.130599e-02	-1.809937e-02	4.331906e-02	-5.176356e-02
5.500000e+00	-1.861781e-02	1.957753e-02	-2.185398e-02	4.035680e-02	-5.369902e-02
5.550000e+00	-2.260535e-02	1.689895e-02	-2.518328e-02	3.289823e-02	-5.139914e-02
5.600000e+00	-2.615309e-02	1.360257e-02	-2.804515e-02	2.141632e-02	-5.388080e-02
5.650000e+00	-2.867205e-02	1.121462e-02	-2.940959e-02	6.062897e-03	-5.947756e-02
5.700000e+00	-2.968495e-02	1.229021e-02	-2.710296e-02	-5.016700e-03	-6.350715e-02
5.750000e+00	-2.866698e-02	1.648190e-02	-2.473472e-02	2.032709e-03	-6.904181e-02
5.800000e+00	-2.536102e-02	2.129752e-02	-1.946416e-02	9.776838e-03	-7.155453e-02
5.850000e+00	-1.983500e-02	2.497026e-02	-1.170319e-02	2.165903e-02	-6.764777e-02
5.900000e+00	-1.277346e-02	2.666585e-02	-3.009011e-03	3.298523e-02	-6.738459e-02
5.950000e+00	-5.042841e-03	2.617116e-02	4.631299e-03	4.190596e-02	-6.183830e-02
6.000000e+00	2.407579e-03	2.389289e-02	9.339770e-03	4.810829e-02	-5.005544e-02
6.050000e+00	8.753882e-03	2.063823e-02	1.246784e-02	5.139575e-02	-3.642697e-02
6.100000e+00	1.348222e-02	1.750346e-02	1.445322e-02	5.163072e-02	-2.544261e-02
6.150000e+00	1.650151e-02	1.513684e-02	1.642070e-02	5.013510e-02	-1.845872e-02
6.200000e+00	1.805505e-02	1.359349e-02	1.822506e-02	4.848403e-02	-1.570157e-02
6.250000e+00	1.858336e-02	1.268482e-02	1.911958e-02	4.887963e-02	-1.389394e-02
6.300000e+00	1.855642e-02	1.236031e-02	1.831714e-02	5.047478e-02	-1.405025e-02
6.350000e+00	1.832974e-02	1.260168e-02	1.709685e-02	5.208534e-02	-1.181644e-02
6.400000e+00	1.806163e-02	1.336479e-02	1.818947e-02	5.117185e-02	-1.185267e-02
6.450000e+00	1.770182e-02	1.487325e-02	2.107232e-02	5.208220e-02	-2.172613e-02
6.500000e+00	1.703838e-02	1.749271e-02	2.074559e-02	5.944504e-02	-2.926842e-02
6.550000e+00	1.578291e-02	2.100533e-02	1.606316e-02	6.569703e-02	-3.302155e-02
6.600000e+00	1.359289e-02	2.441815e-02	9.270110e-03	6.790560e-02	-3.339831e-02
6.650000e+00	1.025510e-02	2.657637e-02	2.017159e-03	7.198213e-02	-3.195360e-02
6.700000e+00	5.710624e-03	2.677646e-02	-3.750679e-03	7.192355e-02	-3.692463e-02
6.750000e+00	9.405791e-05	2.509868e-02	-4.733625e-03	6.680748e-02	-4.248000e-02
6.800000e+00	-6.248274e-03	2.242637e-02	-8.733712e-03	5.982224e-02	-4.641696e-02
6.850000e+00	-1.276686e-02	2.001598e-02	-1.544789e-02	5.245226e-02	-5.200051e-02
6.900000e+00	-1.875471e-02	1.852712e-02	-2.334214e-02	4.492658e-02	-5.698417e-02
6.950000e+00	-2.343847e-02	1.736279e-02	-2.642896e-02	3.561176e-02	-6.561836e-02
7.000000e+00	-2.611169e-02	1.543972e-02	-2.747854e-02	2.322063e-02	-6.595991e-02
7.050000e+00	-2.625693e-02	1.236977e-02	-2.636204e-02	7.462357e-03	-5.872855e-02
7.100000e+00	-2.376428e-02	9.460003e-03	-2.369006e-02	7.419991e-03	-5.191038e-02
7.150000e+00	-1.894881e-02	9.725554e-03	-1.831128e-02	8.413084e-03	-4.764077e-02
7.200000e+00	-1.252511e-02	1.328801e-02	-1.092329e-02	1.749150e-02	-6.108300e-02
